"file_id","sample_type","condition"
"af0d61e8-9271-4a3a-8a25-b4417323043d","Primary Tumor","Primary Tumor"
"683a097e-79ff-41d5-843c-d23674867f02","Primary Tumor","Primary Tumor"
"6fdf025f-20c2-404a-b40f-c625e7649b88","Primary Tumor","Primary Tumor"
"9400edd0-cc27-4b5c-802a-31ea10a73130","Primary Tumor","Primary Tumor"
"d12841a3-bb30-4068-84a9-1e71d3e4a223","Primary Tumor","Primary Tumor"
"b25db78b-dd55-4bda-8705-30690ea11954","Solid Tissue Normal","Solid Tissue Normal"
"6ab4fc21-5a56-475e-84fe-ff08724120f2","Primary Tumor","Primary Tumor"
"46113f4d-f105-4057-9ae7-27f4e0f60abe","Primary Tumor","Primary Tumor"
"62fe956f-d4ea-45b5-8650-bc0adc5d4291","Primary Tumor","Primary Tumor"
"a350c64f-68f6-4161-a336-253160f87c46","Primary Tumor","Primary Tumor"
"205a5aac-2040-4408-846d-19228ae435bf","Primary Tumor","Primary Tumor"
"d2353436-a547-4431-b1fe-c7bd67f9bcb5","Primary Tumor","Primary Tumor"
"3a443790-5604-4dc4-b5b7-1e927435acd5","Primary Tumor","Primary Tumor"
"436a2acf-c97a-4423-999d-cfd752a70df9","Primary Tumor","Primary Tumor"
"4d6a370d-5a30-4f34-b8ff-d4490afcec73","Primary Tumor","Primary Tumor"
"bed76897-7a87-4692-869a-519f0f9279d7","Primary Tumor","Primary Tumor"
"54ffed74-ae60-4690-9bcb-8d5e1200ccad","Primary Tumor","Primary Tumor"
"6df91b39-f48d-4d97-bd65-0b1dbb4407ed","Primary Tumor","Primary Tumor"
"71f38728-5265-4317-a9da-95129726fe2b","Primary Tumor","Primary Tumor"
"b3c1a9a5-2d08-4a68-8eab-bc2bf4430ace","Primary Tumor","Primary Tumor"
"7cfd1188-7597-4259-a1a7-25dbdddae39a","Primary Tumor","Primary Tumor"
"7facf64a-4732-48a9-a274-79b33a066377","Primary Tumor","Primary Tumor"
"87467089-c9c4-49cd-96da-3fae32599397","Primary Tumor","Primary Tumor"
"d497caa1-a4f7-4ffc-a37b-61b35be3a32b","Primary Tumor","Primary Tumor"
"939775c8-4388-4f97-997f-efb92dc93c79","Primary Tumor","Primary Tumor"
"e4422832-2ce3-47aa-ab4e-ecc2bb8e4018","Primary Tumor","Primary Tumor"
"fb898446-9ba2-47d5-b86f-41a424c6fc38","Primary Tumor","Primary Tumor"
"0e173e62-bccb-4a31-914f-e888bd412bc6","Primary Tumor","Primary Tumor"
"68dec41b-fbcc-4f7b-9562-8ea51f3617e4","Primary Tumor","Primary Tumor"
"4cf796e7-dd9e-45b9-8095-44b0e0555d17","Primary Tumor","Primary Tumor"
"2e354ad2-e897-44e9-8c6f-341fc5d878ec","Primary Tumor","Primary Tumor"
"19c3e7c5-bf6a-4b03-84ef-bf4c2f0d4d54","Primary Tumor","Primary Tumor"
"715f2d06-d430-4021-a192-7108fa0c1f63","Primary Tumor","Primary Tumor"
"8429fc49-57f7-47a9-98e3-ac0bf8966b52","Primary Tumor","Primary Tumor"
"0e23a5a9-902d-4a57-87ad-c9ce385a9730","Primary Tumor","Primary Tumor"
"7d7401ae-d0e1-4296-9898-43d73e8bacfd","Primary Tumor","Primary Tumor"
"e4fe45b7-34de-4467-9f6d-e65930b3d508","Primary Tumor","Primary Tumor"
"1af6794a-2d3e-4a93-81e5-accc366c6922","Primary Tumor","Primary Tumor"
"830c13a4-a08e-4709-81cc-2f41bc4b978d","Primary Tumor","Primary Tumor"
"e48da6f7-3c3b-4518-8075-a18a944144f2","Primary Tumor","Primary Tumor"
"b10e1f39-79f4-43f6-8352-4c2e95de228e","Primary Tumor","Primary Tumor"
"6f2d4c85-893f-40ed-8ec1-a03b53ec59c1","Solid Tissue Normal","Solid Tissue Normal"
"e193802b-e5e0-4d85-b15e-ed85a80ec2a7","Primary Tumor","Primary Tumor"
"0f9c65de-7793-456e-a2dc-d3de101a5095","Primary Tumor","Primary Tumor"
"e3bffebc-79c8-4cee-bad7-c7245a1ae50c","Primary Tumor","Primary Tumor"
"32b046cc-93cf-4f15-9d0a-cc8e7a163cbf","Primary Tumor","Primary Tumor"
"1641a198-218f-4c63-802d-16a09fabf82a","Primary Tumor","Primary Tumor"
"a77b6765-6e36-4909-9cd3-90cd4efb8c6e","Primary Tumor","Primary Tumor"
"d215fc19-0c97-46e1-946f-a293d95f581b","Primary Tumor","Primary Tumor"
"937c07c2-b2a5-4b3f-a5e1-09edc7fa9bf5","Primary Tumor","Primary Tumor"
"53df569d-4e33-41f5-9742-98bb082bf934","Primary Tumor","Primary Tumor"
"68b113cd-faec-4cca-b21b-2683ef1bbb73","Primary Tumor","Primary Tumor"
